Gavia,Gavia egeriana,12.719999999999999,12.719999999999999
Palaeospheniscus,Palaeospheniscus interruptus,18.205000000000002,18.205000000000002
Aletornis,Aletornis pernix,42.900000000000006,42.900000000000006
Colymbus,Colymbus parvus,0.06885,3.0940000000000003
Syrigma,Syrigma sanctimartini,0.06885,0.06885
Morus,Morus lompocanus,5.423,12.719999999999999
Calonectris,Calonectris diomedea,1.29985,4.4665
Neogaeornis,Neogaeornis wetzeli,68.3,68.3
Phalacrocorax,Phalacrocorax rogersi,3.9605,3.9605
Stictocarbo,Stictocarbo kumeyaay,3.35,3.35
Phalacrocorax,Phalacrocorax goletensis,1.29985,6.050000000000001
Nettion,Nettion ogallalae,11.95,11.95
Anthropodyptes,Anthropodyptes gilli,19.5,19.5
Spheniscus,Spheniscus demersus,0.00585,0.4535
Palaeeudyptes,Palaeeudyptes klekowskii,35.95,42.9
Prosybris,Prosybris antiqua,31.15,31.15
Wilaru,Wilaru tedfordi,25.715,25.715
Palaelodus,Palaelodus aotearoa,17.45,17.45
Bambolinetta,Bambolinetta lignitifila,8.470500000000001,8.470500000000001
Eudyptes,Eudyptes pachyrhynchus,0.00585,0.06885
Puffinus,Puffinus priscus,8.470500000000001,14.895
Protorhea,Protorhea azarae,5.4,5.4
Rallus,Rallus limicola,0.06885,3.35
Chionoides,Chionoides australiensis,25.715,25.715
Aquila,Aquila sodalis,1.29985,1.29985
Heterostrix,Heterostrix tatsinensis,31.15,31.15
Geochen,Geochen rhuax,0.00585,0.00585
Podiceps,Podiceps arndti,3.35,3.35
Eoneornis,Eoneornis australis,13.789000000000001,13.789000000000001
Ichthyornis,Ichthyornis maltshevskyi,91.4,91.4
Tringa,Tringa fuscicollis,1.29985,1.29985
Changmaornis,Changmaornis houi,119.0,119.0
Anhinga,Anhinga grandis,7.6000000000000005,11.95
Gracilitarsus,Gracilitarsus mirabilis,44.5,44.5
Sula,Sula universitatis,17.319000000000003,17.319000000000003
Xanthocephalus,Xanthocephalus xanthocephalus,0.06885,0.156
Palaeortyx,Palaeortyx gallica,25.715,25.715
Rahonavis,Rahonavis ostromi,69.05,69.05
Nannonetta,Nannonetta invisitata,0.06885,0.06885
Morus,Morus peninsularis,4.4665,14.785
Chenonetta,Chenonetta finschi,0.06885,1.294
Nettapus,Nettapus eyrensis,0.06885,0.06885
Archaeornithura,Archaeornithura meemannae,126.22999999999999,126.22999999999999
Paraortyx,Paraortyx lorteti,31.0,31.0
Phalacrocorax,Phalacrocorax marinavis,28.465,28.465
Qiliania,Qiliania graffini,119.0,119.0
Accipiter,Accipiter fasciatus,0.00585,0.00585
Paracrax,Paracrax gigantea,32.05,32.05
Viator,Viator picis,0.06885,0.06885
Olar,Olar buccinator,0.06885,1.05
Stercorarius,Stercorarius parasiticus,4.4665,4.4665
Morus,Morus peruvianus,6.2895,6.2895
Aegotheles,Aegotheles novaezealandiae,0.00585,0.063
Porzana,Porzana astrictocarpus,0.00585,1.29985
Eremopezus,Eremopezus eocaenus,31.0,31.0
