Species	Status	min_age	max_age
Aves	extinct	37.2	55.8
Aves	extinct	37.2	55.8
Gaviiformes	extinct	66	70.6
Ornimegalonyx_oteroi	extinct	0.0117	2.588
Anhinga_subvolans	extinct	15.97	20.43
Promilio_floridanus	extinct	15.97	20.43
Buteo_fluviaticus	extinct	33.3	33.9
Hadrogyps_aigialeus	extinct	13.82	15.97
Primapus_lacki	extinct	47.8	56
Primapus_lacki	extinct	47.8	56
Miomancalla_wetmorei	extinct	3.6	7.246
Ichthyornis_dispar	extinct	70.6	89.3
Hesperornis	extinct	70.6	89.3
Neogaeornis_wetzeli	extinct	66	70.6
Alexornis_antecedens	extinct	83.6	86.3
Yacoraitichnus_avis	extinct	66	72.1
Patagonichnornis_venetiorum	extinct	66	70.6
Emuarius_gidju	extinct	15.97	28.4
Dromaius	extinct	11.608	15.97
Dromaius	extinct	5.333	11.608
Dromaius_ocypus	extinct	2.588	5.333
Dromaius_novaehollandiae	extinct	0.781	3.6
Dromaius	extinct	0.781	3.6
Dromaius_ocypus	extinct	2.588	5.333
Dromaius_novaehollandiae	extinct	0.126	5.333
Dromaius	extinct	0	5.333
Lithornis_vulturinus	extinct	48.6	55.8
Paracathartes_howardae	extinct	48.6	55.8
Eocathartes_robustus	extinct	41.3	47.8
Neocathartes_grallator	extinct	33.9	37.2
Diatropornis	extinct	28.4	37.2
Plesiocathartes	extinct	28.4	37.2
Aves	extinct	139.8	145
Patagopteryx_deferrariisi	extinct	83.6	86.3
Neuquenornis_volans	extinct	83.6	86.3
Aves	extinct	0	0.0117
Gobipteryx_minuta	extinct	72.1	83.6
Aves	extinct	0.781	1.806
Aves	extinct	1.806	2.588
Aves	extinct	2.588	7.246
Numida	extinct	2.588	3.6
Accipitridae	extinct	11.608	23.03
Struthionidae	extinct	11.608	23.03
Phasianidae	extinct	11.608	23.03
Aves	extinct	0	2.588
Struthio_camelus	extant	0	0.0117
Struthio_camelus	extant	0	0.0117
Columbidae	extinct	0	0.0117
Struthio_camelus	extant	0	0.0117
Anas_acuta	extant	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Anas_crecca	extant	0.0117	2.588
Anas_acuta	extant	0.0117	2.588
Phalacrocorax_carbo	extant	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Phoenicopterus	extinct	0.0117	2.588
Anser_albifrons	extant	0.0117	2.588
Anser	extinct	0.0117	2.588
Branta_bernicla	extinct	0.0117	2.588
Tadorna	extinct	0.0117	2.588
Anas_platyrhynchos	extant	0.0117	2.588
Anas	extinct	0.0117	2.588
Aythya	extinct	0.0117	2.588
Mergus_merganser	extant	0.0117	2.588
Mergus_serrator	extant	0.0117	2.588
Mergus	extinct	0.0117	2.588
Milvus	extinct	0.0117	2.588
Pandion	extinct	0.0117	2.588
Numenius	extinct	0.0117	2.588
Numenius	extinct	0.0117	2.588
Anas_crecca	extant	0.0117	2.588
Aquila_chrysaetos	extant	0.0117	2.588
Anas_platyrhynchos	extant	0.0117	2.588
Grus_grus	extant	0.0117	2.588
Struthio_camelus	extant	0	0.0117
Streptopelia	extinct	0	0.0117
Struthio_camelus	extant	0	0.0117
Struthio_camelus	extant	0	0.0117
Struthio_camelus	extant	0.0117	2.588
Aves	extinct	0	0.0117
Struthio_camelus	extant	0.0117	2.588
Francolinus	extinct	0.0117	2.588
Aves	extinct	0.781	1.806
Struthio	extinct	0.781	2.588
Aves	extinct	0.0117	2.588
Struthio	extinct	0.781	1.806
Aves	extinct	0.781	1.806
Struthio	extinct	0.781	1.806
Aves	extinct	0.781	1.806
Struthio_camelus	extant	0	2.588
Struthio_camelus	extant	0	2.588
Francolinus	extinct	0	0.0117
Struthio_camelus	extant	0	2.588
Francolinus	extinct	0	2.588
Aves	extinct	0	2.588
Caprimulgus	extinct	0	2.588
Columba	extinct	0	2.588
Columbidae	extinct	0	2.588
Aves	extinct	2.588	23.03
Struthio_camelus	extant	0	2.588
Pelecaniformes	extinct	5.333	11.608
Dege_hendeyi	extinct	5.333	11.608
Struthio	extinct	2.588	23.03
Struthio	extinct	3.6	5.333
Accipitridae	extinct	3.6	5.333
Aves	extinct	3.6	5.333
Phasianidae	extinct	3.6	5.333
Puffinus	extinct	3.6	5.333
Anatidae	extinct	3.6	5.333
Passeriformes	extinct	3.6	5.333
Gruidae	extinct	3.6	5.333
Columbidae	extinct	3.6	5.333
Inguza_predemersus	extinct	3.6	5.333
Ciconiidae	extinct	3.6	5.333
Pachyptila_salax	extinct	3.6	5.333
Procellariiformes	extinct	3.6	5.333
Rallidae	extinct	3.6	5.333
Oceanites_zaloscarthmus	extinct	3.6	5.333
Psittaciformes	extinct	3.6	5.333
Aves	extinct	3.6	5.333
Phasianidae	extinct	3.6	5.333
Inguza_predemersus	extinct	3.6	5.333
Pachyptila_salax	extinct	3.6	5.333
Oceanites_zaloscarthmus	extinct	3.6	5.333
Struthio	extinct	3.6	5.333
Apodidae	extinct	3.6	5.333
Pachyptila	extinct	3.6	5.333
Anseriformes	extinct	2.588	11.62
Struthio	extinct	2.588	11.608
Struthio	extinct	2.588	11.62
Struthio	extinct	0.0117	2.588
Aves	extinct	5.333	7.246
Aves	extinct	0.781	1.806
Aves	extinct	0.781	2.588
Struthio	extinct	0.781	1.806
Aves	extinct	2.588	5.333
Anatidae	extinct	2.588	5.333
Aves	extinct	2.588	5.333
Anas_acuta	extant	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Anser	extinct	0.0117	2.588
Tadorna	extinct	0.0117	2.588
Anas_platyrhynchos	extant	0.0117	2.588
Anas	extinct	0.0117	2.588
Aythya	extinct	0.0117	2.588
Mergus_merganser	extant	0.0117	2.588
Pandion	extinct	0.0117	2.588
Anas_crecca	extant	0.0117	2.588
Anas	extinct	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Anas_crecca	extant	0.0117	2.588
Anas_acuta	extant	0.0117	2.588
Aquila_chrysaetos	extant	0.0117	2.588
Anas_platyrhynchos	extant	0	2.588
Grus_grus	extant	0	2.588
Anser_albifrons	extant	0	2.588
Anas_acuta	extant	0.0117	2.588
Phalacrocorax_carbo	extant	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Phoenicopterus	extinct	0.0117	2.588
Anas_platyrhynchos	extant	0.0117	2.588
Anas	extinct	0.0117	2.588
Mergus_serrator	extant	0.0117	2.588
Mergus	extinct	0.0117	2.588
Milvus	extinct	0.0117	2.588
Anas_crecca	extant	0.0117	2.588
Anas	extinct	0.0117	2.588
Anas_acuta	extant	0.0117	2.588
Phalacrocorax_carbo	extant	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Anser_albifrons	extant	0.0117	2.588
Tadorna	extinct	0.0117	2.588
Anas_platyrhynchos	extant	0.0117	2.588
Anas	extinct	0.0117	2.588
Aythya	extinct	0.0117	2.588
Mergus_merganser	extant	0.0117	2.588
Mergus_serrator	extant	0.0117	2.588
Mergus	extinct	0.0117	2.588
Numenius	extinct	0.0117	2.588
Anas_crecca	extant	0.0117	2.588
Branta	extinct	0.0117	2.588
Struthio	extinct	5.333	7.246
Struthio	extinct	1.806	2.588
Struthio	extinct	1.806	2.588
Struthio	extinct	0.781	1.806
Struthio	extinct	0.781	2.588
Aves	extinct	2.588	5.333
Coraciiformes	extinct	46.2	50.3
Presbyornis	extinct	46.2	50.3
Strigiformes	extinct	46.2	50.3
Anatidae	extinct	20.43	24.8
Aves	extinct	5.333	23.03
Larus	extinct	2.588	3.6
Stercorarius	extinct	2.588	3.6
Egretta	extinct	2.588	3.6
Anabernicula	extinct	2.588	3.6
Recurvirostra	extinct	2.588	3.6
Calidris	extinct	2.588	3.6
Calidris	extinct	2.588	3.6
Hesperornithiformes	extinct	93.5	99.6
Struthio	extinct	11.62	13.82
Accipitridae	extinct	11.62	13.82
Accipitridae	extinct	0	2.588
Struthio_camelus	extant	0	2.588
Aves	extinct	0	0.0117
Aves	extinct	0	2.588
Aves	extinct	0.0117	2.588
Struthio_camelus	extant	0.0117	2.588
Struthio_camelus	extant	0	2.588
Francolinus	extinct	0.0117	5.333
Aves	extinct	0.0117	5.333
Coturnix	extinct	0.0117	5.333
Turnix	extinct	0.0117	5.333
Passer	extinct	0.0117	5.333
Ploceus	extinct	0.0117	5.333
Tyto	extinct	0.0117	5.333
Aves	extinct	0.0117	5.333
Struthionidae	extinct	0.781	2.588
Phalacrocorax	extinct	0.781	2.588
Aves	extinct	1.806	2.588
Aves	extinct	1.806	2.588
Francolinus	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Francolinus	extinct	1.806	2.588
Numida	extinct	1.806	2.588
Streptopelia	extinct	1.806	2.588
Francolinus	extinct	1.806	2.588
Francolinus	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Streptopelia	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Aves	extinct	0.781	1.806
Accipitridae	extinct	0.0117	2.588
Aves	extinct	0.781	2.588
Plataleidae	extinct	0.781	2.588
Struthio	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Numida	extinct	0.0117	5.333
Aves	extinct	2.588	5.333
Aves	extinct	2.588	5.333
Aves	extinct	0.0117	2.588
Plataleidae	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Phasianidae	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Struthio	extinct	0.0117	2.588
Plataleidae	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Francolinus	extinct	2.588	5.333
Numida	extinct	2.588	5.333
Aegypius	extinct	2.588	5.333
Francolinus	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Bubo	extinct	2.588	3.6
Aves	extinct	0.781	1.806
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0	0.0117
Struthio_camelus	extant	0	0.0117
Numida	extinct	0	0.0117
Corvus	extinct	0	0.0117
Struthio_camelus	extant	0	0.0117
Numida	extinct	0	0.0117
Pelecanus	extinct	0	0.0117
Francolinus	extinct	0	0.0117
Strigidae	extinct	0	0.0117
Aves	extinct	0	0.0117
Struthio_camelus	extant	0	0.0117
Numida	extinct	0	0.0117
