Species	Status
Abavornis_bonaparti	extinct
Aberratiodontus_wui	extinct
Accipiter	extinct
Accipiter_cooperi	extinct
Accipiter_fasciatus	extant
Accipiter_gentilis	extant
Accipiter_nisus	extinct
Accipiter_striatus	extant
Accipitridae	extinct
Accipitrinae	extinct
Actitis_macularia	extinct
Adelalopus	extinct
Aechmophorus	extinct
Aechmophorus_elasson	extinct
Aechmophorus_occidentalis	extinct
Aegialornis_gallicus	extinct
Aegialornis_wetmorei	extinct
Aegialornithidae	extinct
Aegolius	extinct
Aegolius_acadicus	extant
Aegolius_gradyi	extinct
Aegolius_martae	extinct
Aegotheles	extinct
Aegotheles_novaezealandiae	extant
Aegypiinae	extinct
Aegypius	extinct
Aepyornis	extinct
Aepyornithidae	extinct
Aethia	extinct
Aethia_barnesi	extinct
Agelaius	extinct
Agelaius_phoeniceus	extinct
Agriocharis_anza	extinct
Agriocharis_progenes	extinct
Aix_sponsa	extinct
Aizengyps_toomeyae	extinct
Ajaia	extinct
Ajaia_chione	extinct
Alamitornis_minutus	extinct
Alauda	extinct
Alca	extinct
Alca_ausonia	extinct
Alca_carolinensis	extinct
Alca_grandis	extinct
Alca_minor	extinct
Alca_olsoni	extinct
Alca_stewarti	extinct
Alca_torda	extant
Alcidae	extinct
Alcini	extinct
Alethoalaornis_agitornis	extinct
Aletornis_bellus	extinct
Aletornis_gracilis	extinct
Aletornis_nobilis	extinct
Aletornis_pernix	extinct
Aletornis_venustus	extinct
Alexornis_antecedens	extinct
Alexornithidae	extinct
Alle_alle	extant
Ambiortus_dementjevi	extinct
Amitabha_urbsinterdictensis	extinct
Ammodramus	extinct
Amplibuteo_concordatus	extinct
Amplibuteo_hibbardi	extinct
Amplibuteo_woodwardi	extinct
Anabernicula	extinct
Anabernicula_gracilenta	extinct
Anabernicula_oregonensis	extinct
Anas	extinct
Anas_acuta	extant
Anas_americana	extinct
Anas_amotape	extinct
Anas_carolinensis	extinct
Anas_chlorotis	extant
Anas_clypeata	extinct
Anas_crecca	extant
Anas_cyanoptera	extinct
Anas_discors	extinct
Anas_gracilipes	extinct
Anas_itchtucknee	extinct
Anas_kurochkini	extinct
Anas_platyrhynchos	extant
Anas_sanctaehelenae	extinct
Anas_schneideri	extinct
Anas_talarae	extinct
Anatalavis_rex	extinct
Anatidae	extinct
Anatinae	extinct
Anchigyps_voorhiesi	extinct
Andalgalornis	extinct
Andrewsornis	extinct
Anhinga	extinct
Anhinga_anhinga	extinct
Anhinga_grandis	extinct
Anhinga_pannonica	extinct
Anhinga_subvolans	extinct
Anisolornis	extinct
Anomalopteryx_didiformis	extant
Anser	extinct
Anser_albifrons	extant
Anseranas	extinct
Anser_arizonae	extinct
Anser_condoni	extinct
Anseriformes	extinct
Anserinae	extinct
Anserini	extinct
Anthochaera_carunculata	extant
Anthochaera_chrysoptera	extant
Anthornis_melanura	extant
Anthropodyptes_gilli	extinct
Anthropornis	extinct
Anthropornis_grandis	extinct
Anthropornis_nordenskjoeldi	extinct
Apatornis_celer	extinct
Aphelocoma	extinct
Aphelocoma_coerulescens	extinct
Apodidae	extinct
Apsaravis_ukhaana	extinct
Aptenodytes	extinct
Aptenodytes_ridgeni	extinct
Apteribis	extinct
Apteribis_brevis	extant
Apteribis_glenos	extant
Apteryx	extinct
Aptornis	extinct
Aptornis_proasciarostratus	extinct
Apus	extinct
Aquatilavipes	extinct
Aquatilavipes_curriei	extinct
Aquatilavipes_izumiensis	extinct
Aquatilavipes_swiboldae	extinct
Aquila	extinct
Aquila_bivia	extinct
Aquila_chrysaetos	extant
Aquila_pliogryps	extinct
Aquila_sodalis	extinct
Aramidae	extinct
Aramornis_longurio	extinct
Aramus	extinct
Archaeocycnus_lacustris	extinct
Archaeopterygiformes	extinct
Archaeopteryx	extinct
Archaeopteryx_lithographica	extinct
Archaeorhynchus_spathula	extinct
Archaeornithipus_meijidei	extinct
Archaeornithura_meemannae	extinct
Archaeospheniscus	extinct
Archaeospheniscus_lopdelli	extinct
Archaeospheniscus_lowei	extinct
Archaeospheniscus_wimani	extinct
Archaeotrogon_venustus	extinct
Archaeovolans_repatriatus	extinct
Ardea	extinct
Ardea_cinerea	extinct
Ardea_herodias	extant
Ardea_paloccidentalis	extinct
Ardea_polkensis	extinct
Ardeidae	extinct
Ardeola	extinct
Arenaria	extinct
Arenaria_interpres	extinct
Argentavis_magnificens	extinct
Arthrodytes	extinct
Arthrodytes_andrewsi	extinct
Asiahesperornis_bazhanovi	extinct
Asio	extinct
Asio_flammeus	extant
Asio_priscus	extinct
Asturaetus_furcillatus	extinct
Athene	extinct
Athene_veta	extinct
Atlantisia_podarces	extant
Australornis_lovei	extinct
Aves	extinct
Avipedidae	extinct
Avisaurus_archibaldi	extinct
Avisaurus_gloriae	extinct
Aythya	extinct
Aythya_affinis	extinct
Aythya_americana	extinct
Aythya_collaris	extinct
Aythya_marila	extinct
Aythya_valisineria	extinct
Badiostes_patagonicus	extinct
Balaenicipitidae	extinct
Balearica	extinct
Bambolinetta_lignitifila	extinct
Baptornis	extinct
Baptornis_advenus	extinct
Baptornis_varneri	extinct
Baptornithidae	extinct
Barawertornis_tedfordi	extinct
Barrosopus_slobodai	extinct
Bartramia_longicauda	extinct
Bartramia_umatilla	extinct
Bathoceleus_hyphalus	extinct
Bathornis	extinct
Bathornis_celeripes	extinct
Bathornis_fricki	extinct
Bathornis_veredus	extinct
Bauxitornis_mindszentyae	extinct
Baza_gracilis	extinct
Belgirallus	extinct
Belgirallus_minutus	extinct
Belgirallus_oligocaenus	extinct
Belonopterus_edmondi	extinct
Berruornis_halbedeli	extinct
Berruornis_orbisantiqui	extinct
Bohaiornis_guoi	extinct
Boluochia_zhengi	extinct
Bombycilla	extinct
Bonasa	extinct
Bonasa_umbellus	extant
Boreortalis	extinct
Boreortalis_laesslei	extinct
Borvocarbo	extinct
Borvocarbo_tardatus	extinct
Botauroides_parvus	extinct
Botaurus	extinct
Botaurus_lentiginosus	extinct
Boutersemia	extinct
Boutersemia_belgica	extinct
Boutersemia_parvula	extinct
Brachyramphus	extinct
Brachyramphus_dunkeli	extinct
Brachyramphus_pliocenum	extinct
Branta	extinct
Branta_bernicla	extinct
Branta_canadensis	extant
Branta_hylobadistes	extant
Branta_hypsibata	extinct
Branta_propinqua	extinct
Branta_ruficollis	extinct
Branta_woolfendeni	extinct
Breagyps	extinct
Brodavis_americanus	extinct
Brodavis_baileyi	extinct
Brodavis_mongoliensis	extinct
Brontornis_burmeisteri	extinct
Bubo	extinct
Bubo_insularis	extinct
Bubo_sinclairi	extant
Bubo_virginianus	extant
Bucephala	extinct
Bucephala_albeola	extinct
Bucephala_clangula	extinct
Bucephala_ossivallis	extinct
Bucerotidae	extinct
Bullockornis	extinct
Bullockornis_planei	extinct
Bulweria	extinct
Bulweria_bifax	extant
Burhinidae	extinct
Burhinus	extinct
Burhinus_lucorum	extinct
Burhinus_nanus	extinct
Buteo	extinct
Buteo_buteo	extant
Buteo_fluviaticus	extinct
Buteogallus	extinct
Buteogallus_urubitinga	extinct
Buteo_grangeri	extinct
Buteo_jamaicensis	extant
Buteo_lineatus	extinct
Buteoninae	extinct
Buteo_platypterus	extinct
Buteo_rufinus	extinct
Buteo_swainsoni	extinct
Buteo_typhoius	extinct
Butorides_validipes	extinct
Butorides_virescens	extinct
Cacatua_roseicapilla	extant
Cacatua_tenuirostris	extant
Calcardea_junnei	extinct
Calidris	extinct
Calidris_melanotos	extinct
Calidris_pacis	extinct
Callaeas_cinerea	extinct
Callipepla	extinct
Calonectris	extinct
Calonectris_borealis	extinct
Calonectris_diomedea	extinct
Calonectris_krantzi	extinct
Calonectris_kurodai	extinct
Camptodontus_yangi	extinct
Canadaga_arctica	extinct
Capella	extinct
Capella_media	extinct
Caprimulgidae	extinct
Caprimulgus	extinct
Caprimulgus_piurensis	extinct
Caracara	extinct
Caracara_creightoni	extant
Caracara_plancus	extant
Cardinalis_cardinalis	extinct
Carduelis	extinct
Cariama_santacrucensis	extinct
Cariaminae	extinct
Carpodacus	extinct
Caspiodontornis_kobystanicus	extinct
Casuarius	extinct
Catenoleimus_anachoretus	extinct
Catharacta	extinct
Catharista_shastensis	extinct
Cathartes_aura	extant
Cathartes_fossilis	extinct
Cathartidae	extinct
Catharus	extinct
Cathayornis_yandica	extinct
Catoptrophorus_semipalmatus	extinct
Centrornis	extinct
Cepphus	extinct
Cepphus_columba	extant
Cepphus_olsoni	extinct
Ceramornis_major	extinct
Cerebavis_cenomanica	extinct
Cerorhinca	extinct
Cerorhinca_dubia	extinct
Cerorhinca_minor	extinct
Cerorhinca_reai	extinct
Ceryle_torquata	extinct
Chaetoptila	extinct
Chaetura	extinct
Changchengornis_hengdaoziensis	extinct
Changmaornis_houi	extinct
Chaoyangia_beishanensis	extinct
Charadrii	extinct
Charadriiformes	extinct
Charadrius	extinct
Charadrius_bicinctus	extinct
Charadrius_obscurus	extinct
Charadrius_sanctaehelenae	extant
Charadrius_semipalmatus	extinct
Charadrius_vociferus	extinct
Chascacocolius	extinct
Chascacocolius_cacicirostris	extinct
Chelychelynechen_quassus	extant
Chen_caerulescens	extinct
Chendytes	extinct
Chendytes_lawi	extinct
Chen_hyperborea	extinct
Chenonetta_finschi	extant
Chenopis	extinct
Chen_pressa	extinct
Chen_rossii	extinct
Chionoides_australiensis	extinct
Chlidonias	extinct
Chloephaga	extinct
Chondestes_grammacus	extinct
Chunga	extinct
Ciconia	extinct
Ciconia_maltha	extinct
Ciconiidae	extinct
Ciconiiformes	extinct
Cimolopterygidae	extinct
Cimolopteryx	extinct
Cimolopteryx_maxima	extinct
Cimolopteryx_rara	extinct
Cinclosoma_punctatum	extant
Circus	extinct
Ciridops	extinct
Cistothorus	extinct
Cistothorus_brevis	extinct
Cladornis_pachypus	extinct
Clangula	extinct
Cnemiornis_calcitrans	extant
Coccyzus	extinct
Coccyzus_americanus	extinct
Coenocorypha	extinct
Coenocorypha_iredalei	extinct
Colaptes	extinct
Colaptes_auratus	extant
Coliidae	extinct
Colinus	extinct
Colinus_suilium	extinct
Colinus_virginianus	extant
Colius	extinct
Collocalia	extinct
Columba	extinct
Columba_livia	extant
Columbidae	extinct
Columbina	extinct
Colymbiculus_udovichenkoi	extinct
Colymbidae	extinct
Colymboides	extinct
Colymboides_metzleri	extinct
Colymbus	extinct
Colymbus_nigricollis	extant
Colymbus_oligocaenus	extinct
Colymbus_parvus	extinct
Colymbus_portisi	extinct
Colymbus_subparvus	extinct
Concornis_lacustris	extinct
Confuciusornis	extinct
Confuciusornis_chuonzhous	extinct
Confuciusornis_dui	extinct
Confuciusornis_feducciai	extinct
Confuciusornis_jianchangensis	extinct
Confuciusornis_sanctus	extinct
Confuciusornis_suniae	extinct
Contopus	extinct
Contopus_virens	extinct
Conuropsis_fratercula	extinct
Copepteryx_hexeris	extinct
Copepteryx_titan	extinct
Coracii	extinct
Coraciiformes	extinct
Coracopsis	extinct
Coragyps	extinct
Coragyps_atratus	extinct
Corvidae	extinct
Corvus	extinct
Corvus_annectens	extinct
Corvus_brachyrhynchos	extinct
Corvus_corax	extant
Corvus_moriorum	extinct
Corvus_ossifragus	extinct
Corvus_pliocaenus	extinct
Corvus_wetmorei	extinct
Coturnicops	extinct
Coturnix	extinct
Coturnix_novaezelandiae	extant
Coua	extinct
Cracidae	extinct
Cracticidae	extinct
Cratoavis_cearensis	extinct
Cremaster_tytthus	extinct
Crinifer	extinct
Crossvallia_unienwillia	extinct
Cruschedula_revola	extinct
Crypturellus	extinct
Cuculidae	extinct
Cursoricoccyx_geraldinae	extinct
Cyanocitta	extinct
Cyanocitta_cristata	extant
Cyanolanius	extinct
Cyanoramphus	extinct
Cygninae	extinct
Cygnopterus	extinct
Cygnus	extinct
Cygnus_atratus	extinct
Cygnus_columbianus	extinct
Cygnus_hibbardi	extinct
Cygnus_(Olor)	extinct
Cygnus_paloregonus	extinct
Cyphornis_magnus	extinct
Cyrilavis_olsoni	extinct
Cyrtonyx	extinct
Cyrtonyx_tedfordi	extinct
Dafila	extinct
Dakotornis_cooperi	extinct
Dalingheornis_liweii	extinct
Dapingfangornis	extinct
Dapingfangornis_sentisorhinus	extinct
Dasornis	extinct
Dasornis_abdoun	extinct
Dasornis_emuinus	extinct
Dasyornis	extinct
Dasyornis_brachypterus	extant
Dege_hendeyi	extinct
Delphinornis	extinct
Delphinornis_arctowskii	extinct
Delphinornis_larseni	extinct
Dendragapus	extinct
Dendragapus_gillii	extinct
Dendragapus_obscurus	extant
Dendrochen_robusta	extinct
Dendrocopos	extinct
Dendrocopos_pubescens	extinct
Dendrocygna	extinct
Dendrocygna_arborea	extant
Dendrocygna_autumnalis	extant
Dendrocygninae	extinct
Devincenzia	extinct
Devincenzia_gallinali	extinct
Diatropornis	extinct
Diatryma	extinct
Diatryma_cotei	extinct
Diatryma_gigantea	extinct
Diatrymiformes	extinct
Dinornis	extinct
Dinornis_giganteus	extinct
Dinornis_struthoides	extant
Dinornithidae	extinct
Dinornithiformes	extinct
Diogenornis_fragilis	extinct
Diomedea	extinct
Diomedea_milleri	extinct
Diomedea_thyridata	extinct
Diomedeidae	extinct
Diomedeoides	extinct
Diomedeoides_lipsiensis	extinct
Divisulcus_demerei	extinct
Dorypaltus	extinct
Dorypaltus_prophatus	extinct
Drepanidini	extinct
Dromaius	extinct
Dromaius_novaehollandiae	extinct
Dromaius_ocypus	extinct
Dromornis_stirtoni	extinct
Dromornithidae	extinct
Dryocopus	extinct
Dryornis_pampeanus	extinct
Dumetella_carolinensis	extinct
Dunhuangia_cuii	extinct
Dunstanetta_johnstoneorum	extinct
Duntroonornis_parvus	extinct
Dysmoropelia_dekarchiskos	extinct
Ectopistes_migratorius	extant
Egretta	extinct
Egretta_subfluvia	extinct
Elbretornis	extinct
Elbretornis_bonapartei	extinct
Eleutherornis_helveticus	extinct
Elopteryx_nopcsai	extinct
Elsornis_keni	extinct
Emberizidae	extinct
Emeidae	extinct
Emeus_crassus	extant
Empheresula	extinct
Empheresula_arvernensis	extinct
Emuarius_gidju	extinct
Enaliornis_barretti	extinct
Enaliornis_sedgwicki	extinct
Enantiophoenix_electrophyla	extinct
Enantiornis	extinct
Enantiornis_leali	extinct
Enantiornithes	extinct
Eoalulavis_hoyasi	extinct
Eobucco	extinct
Eobucco_brodkorbi	extinct
Eocathartes_robustus	extinct
Eocathayornis_walkeri	extinct
Eoceornis_ardetta	extinct
Eoconfuciusornis_zhengi	extinct
Eocoracias_brachyptera	extinct
Eocrex_primus	extinct
Eocuculus_cherpinae	extinct
Eocypselus_vincenti	extinct
Eoenantiornis_buhleri	extinct
Eoglaucidium	extinct
Eogruidae	extinct
Eogrus	extinct
Eoneornis_australis	extinct
Eonessa_anaticula	extinct
Eopengornis_martini	extinct
Eopuffinus_kazachstanensis	extinct
Eostega_lebedinskyi	extinct
Eostrix_martinellii	extinct
Eostrix_tsaganica	extinct
Ephippiorhynchus	extinct
Ephippiorhynchus_asiaticus	extinct
Eremochen_russelli	extinct
Eremopezus_eocaenus	extinct
Eremophila_alpestris	extinct
Eretiscus_tonnii	extinct
Ereunetes	extinct
Ereunetes_rayi	extinct
Ergilornithidae	extinct
Erolia	extinct
Erolia_minutilla	extinct
Erolia_penepusilla	extinct
Eudocimus	extinct
Eudocimus_leiseyi	extinct
Eudocimus_peruvianus	extinct
Eudromia	extinct
Eudyptes	extinct
