"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"117263","occ","","","9070","Saturninia","genus","40441","Late Eocene","","37.2","33.9","11154"
"117266","occ","","","9070","Cynodictis lacustris","species","349281","Late Eocene","","37.2","33.9","11154"
"117267","occ","","","41665","Saturninia gracilis","species","56680","Late Eocene","","37.2","33.9","11154"
"117270","occ","","","41665","Stehlinia","genus","40689","Late Eocene","","37.2","33.9","11154"
"117271","occ","","","41665","Stehlinia gracilis","species","136294","Late Eocene","","37.2","33.9","11154"
"137493","occ","","","11601","Enaliarctos mealsi","species","71871","Aquitanian","","23.03","20.44","4383"
"137495","occ","","","11601","Pinnarctidion bishopi","species","72007","Aquitanian","","23.03","20.44","4175"
"138737","occ","","","11798","Indarctos atticus","species","90196","Turolian","","8.7","5.333","11437"
"138738","occ","","","11798","Protursus","genus","116932","Turolian","","8.7","5.333","11437"
"138739","occ","","","11798","Ursinae","subfamily","65407","Turolian","","8.7","5.333","10885"
"138740","occ","","","11798","Proputorius","genus","41163","Turolian","","8.7","5.333","11437"
"138741","occ","","","11798","Sivaonyx","genus","41169","Turolian","","8.7","5.333","11437"
"138742","occ","","","11798","Lutra","genus","41122","Turolian","","8.7","5.333","11437"
"138743","occ","","","11798","Ictitherium","genus","41026","Turolian","","8.7","5.333","11437"
"138744","occ","","","11798","Viverrinae","subfamily","72213","Turolian","","8.7","5.333","11437"
"138772","occ","","","11798","Soricidae","family","40443","Turolian","","8.7","5.333","11436"
"138773","occ","","","11798","Crocidura","genus","40463","Turolian","","8.7","5.333","11436"
"138774","occ","","","11798","Blarinella","genus","40458","Turolian","","8.7","5.333","11436"
"138775","occ","","","11798","Soricinae","subfamily","53430","Turolian","","8.7","5.333","11436"
"138776","occ","","","11798","Anourosorex","genus","40452","Turolian","","8.7","5.333","11436"
"138777","occ","","","11798","Pteropidae","family","95977","Turolian","","8.7","5.333","11436"
"138778","occ","","","11798","Hipposideridae","family","40647","Turolian","","8.7","5.333","11436"
"138779","occ","","","11798","Myotis","genus","40678","Turolian","","8.7","5.333","11436"
"138780","occ","","","11798","Eptesicus","genus","40671","Turolian","","8.7","5.333","11436"
"138781","occ","","","11798","Pipistrellus","genus","40683","Turolian","","8.7","5.333","11436"
"138782","occ","","","11798","Plecotus","genus","40684","Turolian","","8.7","5.333","11436"
"138826","occ","","","11799","Drepanodon","genus","45918","Late Miocene","Early Pliocene","11.608","3.6","4198"
"138844","occ","","","11803","Myotis","genus","40678","Late Pleistocene","","0.126","0.0117","10604"
"147933","occ","","","13060","Siwalikosorex","genus","40485","Late Miocene","","11.608","5.333","4341"
"147936","occ","","","13061","Atopotarus courseni","species","53071","Late Hemingfordian","Early Barstovian","20.43","13.6","4342"
"149438","occ","","","13192","Allodesmus kernensis","species","72005","Langhian","","15.97","13.82","4384"
"150059","occ","","","13293","Lynx","genus","41058","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150060","occ","","","13293","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150061","occ","","","13293","Panthera tigris","species","104157","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150062","occ","","","13293","Crocuta crocuta","species","232133","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150063","occ","","","13293","Paguma larvata","species","232933","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150064","occ","","","13293","Herpestes urva","species","240141","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150065","occ","","","13293","Viverra zibetha","species","104163","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150066","occ","","","13293","Lutra lutra","species","104165","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150067","occ","","","13293","Arctonyx collaris","species","157496","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150068","occ","","","13293","Ursus thibetanus","species","104029","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150069","occ","","","13293","Ailuropoda melanoleuca","species","104015","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150070","occ","","","13293","Cuon","genus","41204","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150079","occ","","","13293","Hipposideros","genus","40649","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150080","occ","","","13293","Crocidura russula","species","233992","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150152","occ","","","13303","Raoella dograi","species","69785","Middle Eocene","Late Eocene","48.6","33.9","4421"
"150891","occ","","","13456","Panthera leo","species","46521","Late Pleistocene","Holocene","0.126","0","6077"
"150892","occ","11214","","13456","Crocuta","genus","45364","Late Pleistocene","Holocene","0.126","0","11349"
"150922","occ","","","13472","Amphicyon","genus","41271","Middle Miocene","","15.97","11.608","6080"
"150923","occ","","","13472","Crocuta","genus","45364","Middle Miocene","","15.97","11.608","6080"
"150954","occ","","","13473","Amphicyon","genus","41271","Late Miocene","","11.608","5.333","6080"
"150956","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"150957","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"150958","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"150959","occ","","","13473","Vinayakia","genus","41082","Late Miocene","","11.608","5.333","6080"
"150960","occ","","","13473","Megantereon","genus","41060","Late Miocene","","11.608","5.333","6080"
"150961","occ","","","13473","Felidae","family","41045","Late Miocene","","11.608","5.333","6080"
"151009","occ","","","13474","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"151010","occ","","","13474","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"151036","occ","","","13477","Ictitherium","genus","41026","Late Miocene","","11.608","5.333","6093"
"151049","occ","","","13481","Carnivora","order","36905","Miocene","","23.03","5.333","6101"
"151052","occ","","","13482","Crocidosorex","genus","40462","Early Miocene","Middle Miocene","23.03","11.608","6095"
"151053","occ","","","13482","Myotis","genus","40678","Early Miocene","Middle Miocene","23.03","11.608","6095"
"151054","occ","","","13482","Vespertilionidae","family","40663","Early Miocene","Middle Miocene","23.03","11.608","6095"
"151073","occ","","","13483","Soricidae","family","40443","Middle Miocene","Late Miocene","15.97","5.333","6095"
"151074","occ","","","13483","Soricidae","family","40443","Middle Miocene","Late Miocene","15.97","5.333","6095"
"151075","occ","","","13483","Dinosorex","genus","40465","Middle Miocene","Late Miocene","15.97","5.333","6095"
"151076","occ","","","13483","Chiroptera","order","40622","Middle Miocene","Late Miocene","15.97","5.333","6095"
"151099","occ","","","13484","Heterosoricidae","family","53431","Middle Miocene","","15.97","11.608","6095"
"151118","occ","","","13485","Zelceina kormosi","species","110664","Pliocene","","5.333","2.588","6095"
"151119","occ","","","13485","Blarinella","genus","40458","Pliocene","","5.333","2.588","6095"
"151120","occ","","","13485","Sorex","genus","40486","Pliocene","","5.333","2.588","6095"
"151121","occ","","","13485","Sorex","genus","40486","Pliocene","","5.333","2.588","6095"
"151122","occ","","","13485","Sorex","genus","40486","Pliocene","","5.333","2.588","6095"
"151123","occ","","","13485","Soricinae","subfamily","53430","Pliocene","","5.333","2.588","6095"
"151124","occ","","","13485","Chiroptera","order","40622","Pliocene","","5.333","2.588","6095"
"151416","occ","","","13486","Sorex","genus","40486","Late Pliocene","","3.6","2.588","6095"
"151417","occ","","","13486","Sorex","genus","40486","Late Pliocene","","3.6","2.588","6095"
"151418","occ","","","13486","Paenelimnoecus","genus","40478","Late Pliocene","","3.6","2.588","6095"
"151419","occ","","","13486","Beremendia","genus","40456","Late Pliocene","","3.6","2.588","6095"
"151420","occ","","","13486","Soricidae","family","40443","Late Pliocene","","3.6","2.588","6095"
"151421","occ","","","13486","Soricidae","family","40443","Late Pliocene","","3.6","2.588","6095"
"151422","occ","","","13486","Soricidae","family","40443","Late Pliocene","","3.6","2.588","6095"
"153693","occ","","","13907","Leopardus vorohuensis","species","100309","Uquian","","3","1.2","6166"
