Species	Status	min_age	max_age
Saturninia	extinct	33.9	37.2
Cynodictis_lacustris	extinct	33.9	37.2
Saturninia_gracilis	extinct	33.9	37.2
Stehlinia	extinct	33.9	37.2
Stehlinia_gracilis	extinct	33.9	37.2
Enaliarctos_mealsi	extinct	20.44	23.03
Pinnarctidion_bishopi	extinct	20.44	23.03
Indarctos_atticus	extinct	5.333	8.7
Protursus	extinct	5.333	8.7
Ursinae	extinct	5.333	8.7
Proputorius	extinct	5.333	8.7
Sivaonyx	extinct	5.333	8.7
Lutra	extinct	5.333	8.7
Ictitherium	extinct	5.333	8.7
Viverrinae	extinct	5.333	8.7
Soricidae	extinct	5.333	8.7
Crocidura	extinct	5.333	8.7
Blarinella	extinct	5.333	8.7
Soricinae	extinct	5.333	8.7
Anourosorex	extinct	5.333	8.7
Pteropidae	extinct	5.333	8.7
Hipposideridae	extinct	5.333	8.7
Myotis	extinct	5.333	8.7
Eptesicus	extinct	5.333	8.7
Pipistrellus	extinct	5.333	8.7
Plecotus	extinct	5.333	8.7
Drepanodon	extinct	3.6	11.608
Myotis	extinct	0.0117	0.126
Siwalikosorex	extinct	5.333	11.608
Atopotarus_courseni	extinct	13.6	20.43
Allodesmus_kernensis	extinct	13.82	15.97
Lynx	extinct	0.0117	0.781
Panthera_pardus	extant	0.0117	0.781
Panthera_tigris	extant	0.0117	0.781
Crocuta_crocuta	extant	0.0117	0.781
Paguma_larvata	extant	0.0117	0.781
Herpestes_urva	extinct	0.0117	0.781
Viverra_zibetha	extinct	0.0117	0.781
Lutra_lutra	extant	0.0117	0.781
Arctonyx_collaris	extinct	0.0117	0.781
Ursus_thibetanus	extinct	0.0117	0.781
Ailuropoda_melanoleuca	extinct	0.0117	0.781
Cuon	extinct	0.0117	0.781
Hipposideros	extinct	0.0117	0.781
Crocidura_russula	extinct	0.0117	0.781
Raoella_dograi	extinct	33.9	48.6
Panthera_leo	extant	0	0.126
Crocuta	extinct	0	0.126
Amphicyon	extinct	11.608	15.97
Crocuta	extinct	11.608	15.97
Amphicyon	extinct	5.333	11.608
Crocuta	extinct	5.333	11.608
Crocuta	extinct	5.333	11.608
Crocuta	extinct	5.333	11.608
Vinayakia	extinct	5.333	11.608
Megantereon	extinct	5.333	11.608
Felidae	extinct	5.333	11.608
Crocuta	extinct	5.333	11.608
Crocuta	extinct	5.333	11.608
Ictitherium	extinct	5.333	11.608
Carnivora	extinct	5.333	23.03
Crocidosorex	extinct	11.608	23.03
Myotis	extinct	11.608	23.03
Vespertilionidae	extinct	11.608	23.03
Soricidae	extinct	5.333	15.97
Soricidae	extinct	5.333	15.97
Dinosorex	extinct	5.333	15.97
Chiroptera	extinct	5.333	15.97
Heterosoricidae	extinct	11.608	15.97
