Species	Status
Acheronictis_webbi	extinct
Acinonyx	extinct
Acinonyx_aicha	extinct
Acinonyx_jubatus	extant
Acrophoca	extinct
Acrophoca_longirostris	extinct
Actiocyon_parverratis	extinct
Adcrocuta	extinct
Adeloblarina	extinct
Adeloblarina_berklandi	extinct
Adelphailurus	extinct
Adelphailurus_kansensis	extinct
Adelpharctos_ginsburgi	extinct
Adelpharctos_mirus	extinct
Adilophontes_brachykolos	extinct
Aegyptonycteris_knightae	extinct
Aelurodon	extinct
Aelurodon_asthenostylus	extinct
Aelurodon_ferox	extinct
Aelurodon_mcgrewi	extinct
Aelurodon_montanensis	extinct
Aelurodon_stirtoni	extinct
Aelurodon_taxoides	extinct
Aelurodon_wheelerianus	extinct
Aeluroidea	extinct
Africanictis_hyaenoides	extinct
Africanictis_meini	extinct
Africanictis_schmidtkittleri	extinct
Afrocyon	extinct
Afrophoca_libyca	extinct
Afrosmilus_africanus	extinct
Ageina	extinct
Ageina_tobieni	extinct
Agnotherium	extinct
Agnotherium_antiquum	extinct
Agriotherium	extinct
Agriotherium_africanum	extinct
Agriotherium_inexpetans	extinct
Agriotherium_schneideri	extinct
Agriotherium_sivalensis	extinct
Ailuropoda	extinct
Ailuropoda_baconi	extinct
Ailuropoda_melanoleuca	extinct
Ailuropoda_microta	extinct
Ailuropoda_wulingshanensis	extinct
Aivukus_cedrosensis	extinct
Alagtsavbaatar_indigenus	extinct
Algarolutra_majori	extinct
Alloblarinella_europaea	extinct
Alloblarinella_sinica	extinct
Allocyon_loganensis	extinct
Allodesminae	extinct
Allodesmus	extinct
Allodesmus_gracilis	extinct
Allodesmus_kelloggi	extinct
Allodesmus_kernensis	extinct
Allodesmus_megallos	extinct
Allodesmus_naorai	extinct
Allodesmus_sadoensis	extinct
Allohyaena	extinct
Allohyaena_kadici	extinct
Alluvisorex	extinct
Alluvisorex_arcadentes	extinct
Alluvisorex_chasseae	extinct
Alopecocyon	extinct
Alopecocyon_leardi	extinct
Alopex	extinct
Alopex_lagopus	extant
Altacreodus_magnus	extinct
Ambloctonus	extinct
Ambloctonus_major	extinct
Ambloctonus_priscus	extinct
Ambloctonus_sinosus	extinct
Amblonyx_cinerea	extant
Amblycoptus	extinct
Amblycoptus_jessiae	extinct
Amelotabes_simpsoni	extinct
Amphicticeps	extinct
Amphicticeps_dorog	extinct
Amphicticeps_makhchinus	extinct
Amphicticeps_shackelfordi	extinct
Amphictis	extinct
Amphictis_borbonica	extinct
Amphictis_prolongata	extinct
Amphictis_schlosseri	extinct
Amphicynodon	extinct
Amphicynodon_leptorhynchus	extinct
Amphicynodon_teilhardi	extinct
Amphicyon	extinct
Amphicyon_frendens	extinct
Amphicyon_galushai	extinct
Amphicyon_giganteus	extinct
Amphicyonidae	extinct
Amphicyoninae	extinct
Amphicyon_ingens	extinct
Amphicyon_longiramus	extinct
Amphicyon_major	extinct
Amphicyon_pontoni	extinct
Amphicyon_riggsi	extinct
Amphidozotheriinae	extinct
Amphidozotherium	extinct
Amphidozotherium_cayluxi	extinct
Amphimachairodus	extinct
Amphimachairodus_coloradensis	extinct
Amphimachairodus_giganteus	extinct
Anatolechinos_huadianensis	extinct
Anatolechinos_neimongolensis	extinct
Ancenycteris	extinct
Anchiblarinella_wakeeneyensis	extinct
Angustidens_excultus	extinct
Angustidens_vireti	extinct
Anictis_simplicidens	extinct
Anourosorex	extinct
Anourosorex_oblongus	extinct
Anourosorex_squamipes	extinct
Antesorex_wilsoni	extinct
Antrozous	extinct
Antrozous_pallidus	extant
Anzanycteris_anzensis	extinct
Aonyx	extinct
Aonyx_capensis	extant
Apataelurus	extinct
Apataelurus_kayi	extinct
Apriculus_praeteritus	extinct
Apternodontidae	extinct
Apternodus	extinct
Apternodus_baladontus	extinct
Apternodus_brevirostris	extinct
Apternodus_dasophylakas	extinct
Apternodus_gregoryi	extinct
Apternodus_iliffensis	extinct
Apternodus_major	extinct
Apternodus_mediaevus	extinct
Aralosorex_kalini	extinct
Archaeocyon_falkenbachi	extinct
Archaeocyon_leptodus	extinct
Archaeocyon_pavidus	extinct
Archaeodobenus_akamatsui	extinct
Archaeonycteridae	extinct
Archaeonycteris	extinct
Archaeonycteris_brailloni	extinct
Archaeonycteris_praecursor	extinct
Archaeonycteris_storchi	extinct
Archaeopteropus_transiens	extinct
Archerops_annectens	extinct
Arcticanodon_dawsonae	extinct
Arctisorex_polaris	extinct
Arctocephalinae	extinct
Arctocephalus	extinct
Arctocephalus_forsteri	extant
Arctocephalus_gazella	extant
Arctocephalus_pusillus	extant
Arctocephalus_townsendi	extant
